Date,Open,High,Low,Close,Amount
2010/4/1,54.25,54.9,54.25,54.75,12561
2010/4/2,54.75,54.9,54.65,54.75,5653
2010/4/6,54.9,55.55,54.9,55.3,15860
2010/4/7,55.35,55.5,55.3,55.4,6597
2010/4/8,55.4,55.5,54.85,55.05,9030
2010/4/9,55,55.2,54.8,55.2,6179
2010/4/12,55.45,55.55,55.2,55.45,8812
2010/4/13,55.2,55.2,54.6,54.8,11544
2010/4/14,55,55.2,54.8,55.2,8278
2010/4/15,55.35,55.8,55.35,55.55,12427
2010/4/16,55.5,55.5,54.9,55.2,11168
2010/4/19,54.65,54.65,53.65,53.65,14075
2010/4/20,53.9,54.1,53.75,53.85,6757
2010/4/21,54.15,54.6,54.15,54.55,7300
2010/4/22,54.2,54.5,53.9,54.45,8147
2010/4/23,54.45,54.75,54.45,54.75,8919
2010/4/26,55.25,55.9,55.25,55.9,11154
2010/4/27,55.9,55.95,55.6,55.85,5511
2010/4/28,54.75,55.35,54.55,55.25,7437
2010/4/29,55.25,55.3,54.85,55,5086
2010/4/30,55.4,55.7,54.7,54.8,5323
2010/5/3,54.5,54.85,54.25,54.45,5880
2010/5/4,54.75,54.8,54.2,54.5,10132
2010/5/5,53.4,53.45,52.85,53,20067
2010/5/6,52.95,52.95,51.8,51.95,30653
2010/5/7,51.3,52,51.05,51.95,28002
2010/5/10,52.15,52.5,51.85,52.4,11115
2010/5/11,52.6,52.8,52.05,52.2,9244
2010/5/12,52.1,52.5,51.95,52.1,7851
2010/5/13,52.65,53.4,52.6,53.25,8131
2010/5/14,53.05,53.2,52.9,53.1,12844
2010/5/17,52.6,52.6,51.7,51.9,12090
2010/5/18,52.1,52.2,51.8,52,5846
2010/5/19,51.5,51.55,50.95,51.45,15988
2010/5/20,51.45,51.45,50.75,50.8,13856
2010/5/21,50,50,49.3,49.75,29923
2010/5/24,49.9,50.55,49.9,50.45,6297
2010/5/25,50,50,48.65,49.12,23038
2010/5/26,49.74,49.8,49,49.32,14716
2010/5/27,49.32,49.66,48.75,49.66,15866
2010/5/28,50.1,50.3,49.76,49.87,9411
2010/5/31,50,50.15,49.72,50.1,4494
2010/6/1,50,50.2,49.6,49.83,5341
2010/6/2,49.52,49.83,48.8,49.05,8608
2010/6/3,49.8,50.2,49.75,50.2,5437
2010/6/4,50.2,50.2,49.94,50.05,3337
2010/6/7,48.85,48.85,48.3,48.74,15955
2010/6/8,48.7,48.7,48.31,48.56,6856
2010/6/9,48.5,48.65,47.95,48.18,7602
2010/6/10,48.18,48.89,48.18,48.85,5686
2010/6/11,49.69,49.76,49.46,49.62,5728
2010/6/14,50.2,50.4,50.05,50.35,5856
2010/6/15,50.35,51.1,50.15,50.7,7669
2010/6/17,51.1,51.25,50.85,51.05,5965
2010/6/18,51.05,51.15,50.65,50.9,3038
2010/6/21,51.5,52,51.35,52,15785
2010/6/22,51.9,51.9,51.65,51.7,5262
2010/6/23,51.35,51.5,51.05,51.15,7660
2010/6/24,51.15,51.4,51.1,51.3,5788
2010/6/25,50.75,51,50.5,50.6,6623
2010/6/28,50.7,50.95,50.6,50.8,3672
2010/6/29,51,51.45,50.4,50.5,11619
2010/6/30,49.55,49.69,49.28,49.55,13176
2010/7/1,49.55,49.55,49.01,49.19,12171
2010/7/2,49.1,49.79,49.08,49.49,6190
2010/7/5,49.73,50.5,49.6,50.5,3758
2010/7/6,50,51.4,50,51.4,9876
2010/7/7,51.35,51.4,51.1,51.3,4455
2010/7/8,51.9,52.05,51.65,52.05,12064
2010/7/9,51.9,52.4,51.9,52.35,8072
2010/7/12,52.4,52.95,52.3,52.3,8958
2010/7/13,52.4,52.6,52,52.15,5571
2010/7/14,52.9,53.15,52.8,53.15,15527
2010/7/15,52.95,53.25,52.8,53.25,11031
2010/7/16,53.15,53.15,52.7,52.9,9054
2010/7/19,52.25,52.85,52.2,52.75,16805
2010/7/20,52.75,53.35,52.55,53.2,8232
2010/7/21,53.2,53.35,52.85,52.9,8044
