Date,Open,High,Low,Close,Amount
2010/4/1,22.8,22.97,22.75,22.97,140
2010/4/2,22.91,22.97,22.88,22.96,147
2010/4/6,23,23.22,22.96,23.12,384
2010/4/7,23.12,23.39,23.12,23.32,317
2010/4/8,23.32,23.4,23.15,23.23,197
2010/4/9,23.28,23.28,23.01,23.26,109
2010/4/12,23.26,23.27,23.11,23.25,137
2010/4/13,23.25,23.25,23,23.01,185
2010/4/14,23.1,23.2,23.1,23.2,199
2010/4/15,23.3,23.48,23.3,23.31,161
2010/4/16,23.4,23.4,23.3,23.38,147
2010/4/19,23.3,23.3,22.71,22.71,359
2010/4/20,22.75,23,22.65,23,223
2010/4/21,23,23.1,22.88,23.05,243
2010/4/22,23.05,23.05,22.76,23,160
2010/4/23,23,23.1,22.95,23.02,335
2010/4/26,23.02,23.4,23.02,23.35,699
2010/4/27,23.3,23.42,23.3,23.36,250
2010/4/28,23.1,23.36,23.07,23.32,355
2010/4/29,23.32,23.5,23.32,23.37,168
2010/4/30,23.5,23.61,23.2,23.34,372
2010/5/3,21.71,23.3,21.71,23.3,325
2010/5/4,23.3,23.39,23.13,23.28,164
2010/5/5,23,23.05,22.8,22.93,225
2010/5/6,23,23,22.55,22.7,193
2010/5/7,22.49,22.59,22.02,22.5,304
2010/5/10,22.56,22.7,22.5,22.7,66
2010/5/11,22.88,22.9,22.51,22.52,109
2010/5/12,22.7,22.7,22.52,22.52,20
2010/5/13,22.52,22.8,22.52,22.74,119
2010/5/14,22.61,22.86,22.61,22.86,15
2010/5/17,22.7,22.7,22.4,22.41,103
2010/5/18,22,22.47,22,22.36,108
2010/5/19,22.35,22.58,22.2,22.58,149
2010/5/20,22.58,22.58,22.26,22.3,213
2010/5/21,22.2,22.2,21.6,21.8,562
2010/5/24,21.8,22,21.8,21.97,93
2010/5/25,21.92,21.92,21.29,21.41,340
2010/5/26,21.46,21.67,21.35,21.45,147
2010/5/27,21.45,21.6,21.22,21.6,214
2010/5/28,21.9,21.93,21.74,21.76,136
2010/5/31,21.67,21.9,21.67,21.87,87
2010/6/1,21.87,21.87,21.75,21.8,45
2010/6/2,21.6,21.72,21.42,21.53,205
2010/6/3,21.79,21.8,21.7,21.8,68
2010/6/4,21.8,21.82,21.74,21.74,47
2010/6/7,21.69,21.69,21.25,21.5,107
2010/6/8,21.5,21.69,21.5,21.52,100
2010/6/9,21.55,21.73,21.5,21.54,45
2010/6/10,21.5,21.65,21.5,21.63,36
2010/6/11,21.63,21.9,21.63,21.88,44
2010/6/14,21.9,22,21.88,21.91,67
2010/6/15,21.9,22.2,21.9,22.15,361
2010/6/17,22.18,22.3,22.15,22.25,254
2010/6/18,22.13,22.3,22.13,22.28,65
2010/6/21,22.41,22.6,22.4,22.56,98
2010/6/22,22.7,22.7,22.56,22.56,74
2010/6/23,22.4,22.56,22.35,22.35,191
2010/6/24,22.35,22.45,22.35,22.45,62
2010/6/25,22.4,22.4,22.1,22.24,189
2010/6/28,22.49,22.49,22.26,22.26,58
2010/6/29,22.4,22.44,22.11,22.12,73
