"""siteid""","""sitename""","""aqi""","""pm2.5_avg""","""pm10_avg""","""so2_avg""","""datacreationdate"""
47,美濃,80.83,27.58,45.88,1.0,2023-01-01
47,美濃,63.33,20.71,32.54,0.38,2023-01-02
47,美濃,77.59,26.27,36.64,0.0,2023-01-03
47,美濃,51.25,16.17,27.33,0.0,2023-01-04
47,美濃,77.25,26.12,46.08,0.0,2023-01-05
47,美濃,74.58,25.04,41.46,0.0,2023-01-06
47,美濃,76.08,25.71,45.79,0.12,2023-01-07
47,美濃,88.83,30.83,50.58,1.0,2023-01-08
47,美濃,100.25,35.38,55.96,1.0,2023-01-09
47,美濃,100.92,35.42,58.5,1.0,2023-01-10
47,美濃,94.96,33.29,54.0,0.54,2023-01-11
47,美濃,90.33,31.38,55.42,0.0,2023-01-12
47,美濃,63.88,20.54,41.46,0.0,2023-01-13
47,美濃,31.5,9.54,23.96,0.0,2023-01-14
47,美濃,46.29,14.62,32.71,0.04,2023-01-15
47,美濃,51.83,16.25,37.92,0.38,2023-01-16
47,美濃,71.21,23.79,42.29,1.0,2023-01-17
47,美濃,64.79,21.08,41.62,1.0,2023-01-18
47,美濃,88.08,30.5,54.17,1.0,2023-01-19
47,美濃,79.12,26.96,48.38,1.0,2023-01-20
47,美濃,78.46,26.58,52.29,1.0,2023-01-21
47,美濃,80.92,27.75,46.0,0.62,2023-01-22
47,美濃,65.75,21.58,37.54,0.79,2023-01-23
47,美濃,53.83,15.46,44.25,0.75,2023-01-24
47,美濃,63.58,20.62,45.92,0.46,2023-01-25
47,美濃,50.92,15.0,28.42,0.5,2023-01-26
47,美濃,52.0,16.71,34.46,0.38,2023-01-27
47,美濃,82.62,28.21,52.79,1.0,2023-01-28
47,美濃,76.12,25.71,46.33,1.0,2023-01-29
47,美濃,91.5,31.62,53.38,0.96,2023-01-30
47,美濃,68.88,20.08,39.79,0.75,2023-01-31
47,美濃,51.88,14.83,31.96,1.0,2023-02-01
47,美濃,69.79,22.29,44.92,1.0,2023-02-02
47,美濃,90.0,31.25,67.25,1.0,2023-02-03
47,美濃,78.42,26.62,55.83,0.88,2023-02-04
47,美濃,84.62,29.21,51.46,0.5,2023-02-05
47,美濃,67.04,22.29,38.5,0.0,2023-02-06
47,美濃,46.04,14.46,27.62,0.0,2023-02-07
47,美濃,90.67,31.54,56.62,0.25,2023-02-08
47,美濃,107.38,37.96,67.54,0.83,2023-02-09
47,美濃,78.04,26.25,47.67,1.0,2023-02-10
47,美濃,74.08,24.54,45.25,1.0,2023-02-11
47,美濃,62.62,19.92,43.04,0.96,2023-02-12
47,美濃,30.88,7.88,24.96,0.54,2023-02-13
47,美濃,62.33,20.38,41.5,0.0,2023-02-14
47,美濃,70.5,23.42,43.25,0.0,2023-02-15
47,美濃,62.96,19.58,45.67,0.58,2023-02-16
47,美濃,67.83,22.29,50.08,1.0,2023-02-17
47,美濃,76.58,25.0,48.04,0.38,2023-02-18
47,美濃,79.0,26.83,47.62,0.83,2023-02-19
47,美濃,129.79,46.42,84.92,1.0,2023-02-20
47,美濃,77.67,26.12,65.08,1.54,2023-02-21
47,美濃,60.67,19.46,47.38,1.12,2023-02-22
47,美濃,67.71,22.29,42.88,0.0,2023-02-23
47,美濃,76.96,26.0,46.46,0.0,2023-02-24
47,美濃,65.42,21.42,41.46,0.0,2023-02-25
47,美濃,66.62,21.92,43.88,0.33,2023-02-26
47,美濃,61.21,19.54,45.96,1.0,2023-02-27
47,美濃,69.92,23.17,47.46,1.0,2023-02-28
47,美濃,70.62,23.04,42.54,0.67,2023-03-01
47,美濃,70.0,21.54,50.75,0.25,2023-03-02
47,美濃,84.17,26.92,67.5,1.0,2023-03-03
47,美濃,79.75,25.25,47.42,0.54,2023-03-04
47,美濃,86.29,26.83,49.25,0.0,2023-03-05
47,美濃,79.58,24.38,45.62,0.42,2023-03-06
47,美濃,58.33,15.17,34.21,0.62,2023-03-07
47,美濃,58.62,14.92,33.0,0.0,2023-03-08
47,美濃,78.25,21.62,44.12,0.79,2023-03-09
47,美濃,95.29,31.96,55.83,1.0,2023-03-10
47,美濃,71.79,21.88,39.96,0.75,2023-03-11
47,美濃,64.46,19.71,36.5,0.29,2023-03-12
47,美濃,67.75,22.17,48.46,0.92,2023-03-13
47,美濃,76.88,22.17,52.0,1.0,2023-03-14
47,美濃,66.5,17.92,39.12,1.0,2023-03-15
47,美濃,72.92,20.08,40.21,0.75,2023-03-16
47,美濃,71.21,21.58,47.33,0.54,2023-03-17
47,美濃,58.04,18.29,40.33,0.58,2023-03-18
47,美濃,59.54,18.33,44.25,0.04,2023-03-19
47,美濃,66.46,20.25,49.21,0.58,2023-03-20
47,美濃,43.83,13.25,33.12,1.0,2023-03-21
47,美濃,44.04,13.42,30.83,0.75,2023-03-22
47,美濃,31.04,9.29,23.21,0.0,2023-03-23
47,美濃,64.79,21.54,37.0,0.38,2023-03-24
47,美濃,94.29,30.47,57.35,1.0,2023-03-25
47,美濃,57.75,18.25,36.62,0.67,2023-03-26
47,美濃,66.25,21.58,41.33,0.42,2023-03-27
47,美濃,77.54,24.71,52.92,0.75,2023-03-28
47,美濃,72.79,24.29,43.62,0.5,2023-03-29
47,美濃,65.88,20.38,40.71,0.42,2023-03-30
47,美濃,72.92,23.21,46.62,0.58,2023-03-31
48,橋頭,78.88,26.75,54.21,1.0,2023-01-01
48,橋頭,68.12,22.62,47.04,0.67,2023-01-02
48,橋頭,74.46,25.0,47.12,0.0,2023-01-03
48,橋頭,54.83,17.54,37.38,0.92,2023-01-04
48,橋頭,73.67,24.75,54.88,1.0,2023-01-05
48,橋頭,77.38,26.25,55.54,1.0,2023-01-06
48,橋頭,82.92,28.42,56.25,1.0,2023-01-07
48,橋頭,122.62,43.83,84.33,1.46,2023-01-08
48,橋頭,131.38,48.17,91.33,1.54,2023-01-09
48,橋頭,113.88,40.54,81.33,1.0,2023-01-10
48,橋頭,109.83,39.04,75.75,1.0,2023-01-11
48,橋頭,115.42,41.12,85.25,0.21,2023-01-12
48,橋頭,90.04,31.21,66.12,0.96,2023-01-13
